710 02 10 01 00 00 00 00 00                       718 02 50 01 00 00 00 00 00   ;
710 02 3E 80 00 00 00 00 00                       718 02 7e 80 00 00 00 00 00   ;
710 02 10 01 00 00 00 00 00                       718 02 50 01 00 00 00 00 00   ;
710 02 3E 80 00 00 00 00 00                       718 02 7e 80 00 00 00 00 00   ;
710 02 10 01 00 00 00 00 00                       718 02 50 01 00 00 00 00 00   ;7
710 02 3E 80 00 00 00 00 00                       718 02 7e 80 00 00 00 00 00   ;7
710 04 31 01 20 0A 55 55 55                       718 04 71 01 20 0A 55 55 55   ;7
710 04 31 03 20 0A 55 55 55                       718 04 71 03 20 0A 55 55 55   ;7
710 02 10 01 00 00 00 00 00                       718 02 50 01 00 00 00 00 00   ;7
710 02 3E 80 00 00 00 00 00                       718 02 7e 80 00 00 00 00 00   ;7
710 0B 2E F1 A1 11 49 03 03 00 00 00 35                    718 0B 6e F1 A1 11 49 03 03 00 00 00 35 ;7
710 02 11 01 55 55 55 55 55                       718 02 51 01 55 55 55 55 55   ;7
710 02 10 01 00 00 00 00 00                       718 02 50 01 00 00 00 00 00   ;7
710 02 3E 80 00 00 00 00 00                       718 02 7e 80 00 00 00 00 00   ;7
710 0B 2E F1 A1 11 49 03 04 00 00 00 34                    718 0B 6e F1 A1 11 49 03 04 00 00 00 34 ;7
710 02 11 01 55 55 55 55 55                       718 02 51 01 55 55 55 55 55   ;7
710 02 10 01 00 00 00 00 00                       718 02 50 01 00 00 00 00 00   ;7
710 02 3E 80 00 00 00 00 00                       718 02 7e 80 00 00 00 00 00   ;7
710 0B 2E F1 A1 FF FF FF FF FF FF FF FF                    718 0B 6e F1 A1 FF FF FF FF FF FF FF FF ;7
710 02 11 01 55 55 55 55 55                       718 02 51 01 55 55 55 55 55   ;7
