781 02 10 01 00 00 00 00 00                       789 02 50 01 00 00 00 00 00   ;
781 02 3E 80 00 00 00 00 00                       789 02 7e 80 00 00 00 00 00   ;
781 02 10 01 00 00 00 00 00                       789 02 50 01 00 00 00 00 00   ;
781 02 3E 80 00 00 00 00 00                       789 02 7e 80 00 00 00 00 00   ;
781 04 31 01 20 06 55 55 55                       789 04 71 01 20 06 55 55 55   ;7ds
781 04 31 03 20 06 55 55 55                       789 04 71 03 20 06 55 55 55   ;7ds
781 04 2E 1F F8 00 55 55 55                       789 04 6e 1F F8 00 55 55 55   ;7ds
781 04 2E 1F F3 05 55 55 55                       789 04 6e 1F F3 05 55 55 55   ;7ds
781 03 22 00 04 55 55 55 55                       789 03 62 00 04 55 55 55 55   ;7ds
781 03 22 00 05 55 55 55 55                       789 03 62 00 05 55 55 55 55   ;7ds
781 03 22 00 06 55 55 55 55                       789 03 62 00 06 55 55 55 55   ;7ds
781 03 22 00 0A 55 55 55 55                       789 03 62 00 0A 55 55 55 55   ;7ds
781 03 22 00 0C 55 55 55 55                       789 03 62 00 0C 55 55 55 55   ;7ds
781 04 31 02 20 06 55 55 55                       789 04 71 02 20 06 55 55 55   ;7ds
781 03 22 0A 13 55 55 55 55                       789 03 62 0A 13 55 55 55 55   ;7ds
781 07 2E 1F FE E8 03 D0 07                       789 07 6e 1F FE E8 03 D0 07   ;7
781 07 2E 1F FD E8 03 D0 07                       789 07 6e 1F FD E8 03 D0 07   ;7
781 02 10 01 00 00 00 00 00                       789 02 50 01 00 00 00 00 00   ;7
781 02 3E 80 00 00 00 00 00                       789 02 7e 80 00 00 00 00 00   ;7
781 02 27 01 00 00 00 00 00                       789 02 67 01 00 00 00 00 00   ;7
781 04 27 02 14 92 00 00 00                       789 04 67 02 14 92 00 00 00   ;7
781 02 10 01 00 00 00 00 00                       789 02 50 01 00 00 00 00 00   ;7
781 02 3E 80 00 00 00 00 00                       789 02 7e 80 00 00 00 00 00   ;7
781 02 27 01 00 00 00 00 00                       789 02 67 01 00 00 00 00 00   ;7
781 04 27 02 14 92 00 00 00                       789 04 67 02 14 92 00 00 00   ;7
781 04 31 01 20 07 55 55 55                       789 04 71 01 20 07 55 55 55   ;7
781 04 31 03 20 07 55 55 55                       789 04 71 03 20 07 55 55 55   ;7
781 04 31 02 20 07 55 55 55                       789 04 71 02 20 07 55 55 55   ;7
781 02 10 01 00 00 00 00 00                       789 02 50 01 00 00 00 00 00   ;7
781 02 3E 80 00 00 00 00 00                       789 02 7e 80 00 00 00 00 00   ;7
