710 02 10 01 00 00 00 00 00                       718 02 50 01 00 00 00 00 00   ;
710 02 3E 80 00 00 00 00 00                       718 02 7e 80 00 00 00 00 00   ;
710 02 10 01 00 00 00 00 00                       718 02 50 01 00 00 00 00 00   ;
710 02 3E 80 00 00 00 00 00                       718 02 7e 80 00 00 00 00 00   ;
710 02 10 01 00 00 00 00 00                       718 02 50 01 00 00 00 00 00   ;7
710 02 3E 80 00 00 00 00 00                       718 02 7e 80 00 00 00 00 00   ;7
710 0B 2E F1 A1 11 22 03 01 00 00 00 62                    718 0B 6e F1 A1 11 22 03 01 00 00 00 62 ;7
710 02 11 01 55 55 55 55 55                       718 02 51 01 55 55 55 55 55   ;7
710 02 10 01 00 00 00 00 00                       718 02 50 01 00 00 00 00 00   ;7
710 02 3E 80 00 00 00 00 00                       718 02 7e 80 00 00 00 00 00   ;7
710 0B 2E F1 A1 11 22 03 02 00 00 00 6D                    718 0B 6e F1 A1 11 22 03 02 00 00 00 6D ;7
710 02 11 01 55 55 55 55 55                       718 02 51 01 55 55 55 55 55   ;7
710 02 10 01 00 00 00 00 00                       718 02 50 01 00 00 00 00 00   ;7
710 02 3E 80 00 00 00 00 00                       718 02 7e 80 00 00 00 00 00   ;7
710 0B 2E F1 A1 FF FF FF FF FF FF FF FF                    718 0B 6e F1 A1 FF FF FF FF FF FF FF FF ;7
710 02 11 01 55 55 55 55 55                       718 02 51 01 55 55 55 55 55   ;7
